Using report1.sqlite for SQL queries.
Running [/nfs/c3po/software/spack/opt/spack/linux-ubuntu20.04-x86_64/gcc-9.3.0/cuda-11.6.0-bs5m5wvrn6c236edh2l3yr6bajgkhz72/nsight-systems-2021.5.2/target-linux-x64/reports/nvtxsum.py report1.sqlite]... 

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                         Range                                       
      0.1         52778383          1    52778383.0    52778383.0    52778383    52778383          0.0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_wrapper,program_id=42#             
      0.1         52743507          1    52743507.0    52743507.0    52743507    52743507          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_integer_pow,program_id=24#                      
      0.1         52634820          2    26317410.0    26317410.0    25767389    26867431     777847.2  PushPop  TSL:XlaPass:#name=layout_normalization,module=jit_wrapper,program_id=42#          
      0.1         52455361          1    52455361.0    52455361.0    52455361    52455361          0.0  PushPop  TSL:XlaMemoryScheduler:#module=jit_wrapper,program_id=14#                         
      0.1         52450191          1    52450191.0    52450191.0    52450191    52450191          0.0  PushPop  TSL:XlaCompile:#module=jit_less#                                                  
      0.1         52303984          1    52303984.0    52303984.0    52303984    52303984          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=10#                 
      0.1         52214435          1    52214435.0    52214435.0    52214435    52214435          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_integer_pow,program_id=26#                      
      0.1         52212801          1    52212801.0    52212801.0    52212801    52212801          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_multiply,program_id=19#                         
      0.1         51864883          3    17288294.3    11182719.0    10329224    30352940   11322360.1  PushPop  TSL:XlaPass:#name=cublas-gemm-rewriter,module=jit_wrapper,program_id=42#          
      0.1         51816782          1    51816782.0    51816782.0    51816782    51816782          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=34#                              
      0.1         51815970          1    51815970.0    51815970.0    51815970    51815970          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=31#                              
      0.1         51672368          2    25836184.0    25836184.0    25103332    26569036    1036409.2  PushPop  TSL:XlaPass:#name=layout_normalization,module=jit_wrapper,program_id=14#          
      0.1         51613136          1    51613136.0    51613136.0    51613136    51613136          0.0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_wrapper,program_id=14#     
      0.1         51595733          1    51595733.0    51595733.0    51595733    51595733          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_multiply,program_id=16#                         
      0.1         51512416          1    51512416.0    51512416.0    51512416    51512416          0.0  PushPop  TSL:XlaCompile:#module=jit__where#                                                
      0.1         51432604          1    51432604.0    51432604.0    51432604    51432604          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__mean#                                           
      0.1         51006558          1    51006558.0    51006558.0    51006558    51006558          0.0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_wrapper,program_id=14#             
      0.1         51002401          1    51002401.0    51002401.0    51002401    51002401          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_less,program_id=27#                             
      0.1         50997551          1    50997551.0    50997551.0    50997551    50997551          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=23#                              
      0.1         50967143          1    50967143.0    50967143.0    50967143    50967143          0.0  PushPop  TSL:XlaAutotunerMeasurement:#hlo_op=custom-call.205#                              
      0.1         50482456          1    50482456.0    50482456.0    50482456    50482456          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=28#                              
      0.1         49988882          1    49988882.0    49988882.0    49988882    49988882          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__where,program_id=29#                           
      0.1         49337819          1    49337819.0    49337819.0    49337819    49337819          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__threefry_seed#                                  
      0.1         49077136          1    49077136.0    49077136.0    49077136    49077136          0.0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_wrapper,program_id=42#                              
      0.1         49009387          1    49009387.0    49009387.0    49009387    49009387          0.0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_wrapper,program_id=14#                              
      0.1         48741159          1    48741159.0    48741159.0    48741159    48741159          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__unstack#                                        
      0.1         48682108          1    48682108.0    48682108.0    48682108    48682108          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=20#                              
      0.1         48326474          1    48326474.0    48326474.0    48326474    48326474          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=17#                              
      0.1         48091349          1    48091349.0    48091349.0    48091349    48091349          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_less#                                            
      0.1         48074447          1    48074447.0    48074447.0    48074447    48074447          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__threefry_split#                                 
      0.1         47087579          1    47087579.0    47087579.0    47087579    47087579          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__where#                                          
